"CRUK0881_SU_T1.R1","CRUK0881_SU_T1.R2","CRUK0881_SU_T1.R3","CRUK0881_SU_T1.R4","CRUK0881_SU_T1.R5"
"clonal","clonal","clonal","clonal","clonal"
"absent","subclonal","clonal","absent","clonal"
"absent","subclonal","absent","absent","absent"
"absent","subclonal","absent","absent","absent"
"clonal","clonal","subclonal","clonal","absent"
"clonal","clonal","absent","clonal","absent"
"absent","absent","subclonal","absent","absent"
"absent","absent","absent","absent","subclonal"
"subclonal","absent","absent","absent","absent"
"absent","absent","clonal","absent","absent"
"absent","absent","absent","subclonal","absent"
"absent","subclonal","subclonal","absent","absent"
"clonal","subclonal","absent","subclonal","absent"
"absent","absent","subclonal","absent","absent"
"absent","subclonal","clonal","absent","subclonal"
"absent","absent","absent","absent","subclonal"
"absent","absent","subclonal","absent","absent"
"absent","absent","absent","subclonal","absent"
"absent","absent","subclonal","absent","subclonal"
"clonal","clonal","subclonal","clonal","subclonal"
"subclonal","absent","absent","absent","absent"
"absent","clonal","clonal","absent","clonal"
"absent","subclonal","clonal","absent","absent"
"absent","absent","subclonal","absent","subclonal"
"absent","absent","absent","subclonal","absent"
"clonal","absent","absent","absent","absent"
"absent","absent","absent","absent","subclonal"
"absent","absent","absent","absent","subclonal"
